customer,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount,state,gender
RB50392,Master,,0,1000,0,Personal Auto,Four-Door Car,2.7,Washington,
QZ44356,Bachelor,697953.59,0,94,0,Personal Auto,Four-Door Car,1131.46,Arizona,F
AI49188,Bachelor,1288743.17,48767,108,0,Personal Auto,Two-Door Car,566.47,Nevada,F
WW63253,Bachelor,764586.18,0,106,0,Corporate Auto,SUV,529.88,California,M
GA49547,High School or Below,536307.65,36357,68,0,Personal Auto,Four-Door Car,17.27,Washington,M
OC83172,Bachelor,825629.78,62902,69,0,Personal Auto,Two-Door Car,159.38,Oregon,F
XZ87318,College,538089.86,55350,67,0,Corporate Auto,Four-Door Car,321.6,Oregon,F
CF85061,Master,721610.03,0,101,0,Corporate Auto,Four-Door Car,363.03,Arizona,M
DY87989,Bachelor,2412750.4,14072,71,0,Corporate Auto,Four-Door Car,511.2,Oregon,M
BQ94931,College,738817.81,28812,93,0,Special Auto,Four-Door Car,425.53,Oregon,F
SX51350,College,473899.2,0,67,0,Personal Auto,Four-Door Car,482.4,California,M
VQ65197,College,819719.71,0,110,0,Personal Auto,SUV,528.0,California,
DP39365,Master,879879.7,77026,110,2,Corporate Auto,Four-Door Car,472.03,California,
SJ95423,High School or Below,881901.89,99845,110,1,Corporate Auto,SUV,528.0,Arizona,
IL66569,College,538443.17,83689,70,2,Corporate Auto,Four-Door Car,307.14,California,
BW63560,Bachelor,746313.94,24599,64,1,Corporate Auto,Four-Door Car,42.92,Oregon,
FV94802,High School or Below,256686.78,25049,67,0,Personal Auto,Two-Door Car,454.25,Nevada,
OE15005,College,394524.16,28855,101,0,Personal Auto,SUV,647.44,California,
WC83389,College,571033.31,51148,72,0,Personal Auto,Four-Door Car,308.98,Oregon,
FL50705,High School or Below,816261.71,66140,101,0,Corporate Auto,Four-Door Car,484.8,California,
ZK25313,High School or Below,287205.13,57749,74,0,Personal Auto,Two-Door Car,355.2,Oregon,
QK46697,Bachelor,617710.93,61040,79,1,Personal Auto,Two-Door Car,20.38,Washington,M
YH23384,Bachelor,2412750.4,14072,71,0,Personal Auto,Four-Door Car,511.2,Arizona,
TZ98966,Bachelor,245019.1,0,73,3,Corporate Auto,Four-Door Car,554.38,Nevada,
HM55802,Bachelor,239210.79,17870,61,0,Corporate Auto,Four-Door Car,439.2,California,
FS42516,College,580206.6,97541,72,0,Personal Auto,Four-Door Car,389.19,Oregon,
US89481,Bachelor,394637.21,0,111,0,Personal Auto,Four-Door Car,799.2,California,
HS14476,College,916206.32,29723,80,0,Personal Auto,Four-Door Car,20.99,Washington,M
GE62437,College,1290256.01,86584,111,2,Personal Auto,Four-Door Car,532.8,Arizona,
EJ77678,Master,323536.05,75690,80,1,Personal Auto,Four-Door Car,384.0,Oregon,
SV85652,College,245458.35,23158,63,1,Personal Auto,Four-Door Car,322.29,Arizona,
UL64533,High School or Below,1897545.61,65999,237,0,Corporate Auto,Luxury,615.93,Nevada,
PF41800,Bachelor,471532.13,0,65,0,Personal Auto,Four-Door Car,308.15,California,
HD95276,College,473787.17,0,130,0,Personal Auto,SUV,23.82,Washington,F
SK67821,Bachelor,493291.63,37260,62,0,Corporate Auto,Four-Door Car,15.44,Oregon,
YV55495,High School or Below,574422.97,68987,71,0,Personal Auto,Four-Door Car,204.48,Arizona,
KY38074,Bachelor,1389173.57,42305,117,0,Personal Auto,Four-Door Car,561.6,California,
DM79012,Master,738097.67,65706,91,0,Personal Auto,Four-Door Car,436.8,Oregon,
CM61827,Bachelor,309003.41,0,90,0,Personal Auto,Two-Door Car,648.0,Oregon,
WC35801,High School or Below,252163.31,53243,66,2,Personal Auto,Four-Door Car,157.4,Arizona,
QG25316,High School or Below,265206.18,0,70,1,Corporate Auto,Two-Door Car,484.32,Nevada,
MB98372,College,277104.5,50071,71,0,Corporate Auto,Two-Door Car,18.92,Oregon,
IL19217,Bachelor,393900.64,60021,99,0,Personal Auto,Four-Door Car,882.87,California,
SR38658,High School or Below,1223187.97,43244,103,0,Personal Auto,Luxury,494.4,Arizona,
YD87931,Doctor,495165.61,46896,35354,1,Personal Auto,Four-Door Car,31.71,Washington,M
HG65722,Doctor,1281910.29,10105,172,3,Personal Auto,SUV,0.52,Oregon,
BU27331,Bachelor,446851.05,0,73,3,Personal Auto,Four-Door Car,579.17,Arizona,
XM45289,High School or Below,551434.4,23218,71,0,Personal Auto,Two-Door Car,447.79,Oregon,
KP34198,Bachelor,334387.53,0,92,0,Corporate Auto,Four-Door Car,529.62,California,
SH90947,High School or Below,229447.89,0,62,0,Personal Auto,Four-Door Car,313.02,Arizona,
WE95729,College,3670742.64,24804,104,0,Personal Auto,SUV,593.83,Oregon,
PY51963,Bachelor,3347334.95,33190,106,0,Corporate Auto,SUV,508.8,California,
RB69909,High School or Below,798343.17,36014,69,3,Special Auto,Four-Door Car,173.96,Nevada,
NW21079,Master,487938.48,67163,61,2,Personal Auto,Two-Door Car,33.19,Washington,F
FR46645,Bachelor,429399.73,16701,113,0,Personal Auto,Four-Door Car,831.63,California,
SY17488,College,716439.55,46623,91,0,Corporate Auto,Four-Door Car,436.8,Arizona,
AP67935,College,761951.58,64749,64,0,Special Auto,Four-Door Car,302.57,California,
FS37417,High School or Below,395800.28,0,101,0,Personal Auto,SUV,484.8,Arizona,
